Running scope as unit: run-rb4f98a1cfbcb47f0a49b6418a0a1a98f.scope
chipdb: /home/kelvin/side-project/eisenjoch/chip_database/xc7_large.bin
design: /home/kelvin/side-project/eisenjoch/benchmark/ispd/generated/2016/FPGA01/FPGA01.json
RSS_SAMPLE t=0.0s rss=3MB hwm=3MB
RSS_SAMPLE t=0.3s rss=459MB hwm=459MB
RSS_SAMPLE t=0.5s rss=722MB hwm=722MB
RSS_SAMPLE t=0.8s rss=818MB hwm=823MB
RSS_SAMPLE t=1.0s rss=819MB hwm=823MB
RSS_SAMPLE t=1.3s rss=819MB hwm=823MB
RSS_SAMPLE t=1.5s rss=820MB hwm=823MB
cfg: max_outer_iters=12 blend_alpha=0.5 hardening_step=0 graph_model=TwoLevelPip
  topological compress: density=0.60 target_tiles=15971 final_tiles=15777 scale=1.851 center=(205.1,111.0)
  topological init: n_movable=76660, n_edges=229053, max_layer=26775, back_edges=54022, n_anchored=0
RSS_SAMPLE t=1.8s rss=821MB hwm=823MB
RSS_SAMPLE t=2.0s rss=821MB hwm=823MB
RSS_SAMPLE t=2.3s rss=821MB hwm=823MB
RSS_SAMPLE t=2.5s rss=821MB hwm=823MB
RSS_SAMPLE t=2.8s rss=821MB hwm=823MB
RSS_SAMPLE t=3.0s rss=821MB hwm=823MB
RSS_SAMPLE t=3.3s rss=821MB hwm=823MB
RSS_SAMPLE t=3.5s rss=821MB hwm=823MB
RSS_SAMPLE t=3.8s rss=821MB hwm=823MB
RSS_SAMPLE t=4.0s rss=821MB hwm=823MB
RSS_SAMPLE t=4.3s rss=821MB hwm=823MB
RSS_SAMPLE t=4.5s rss=821MB hwm=823MB
RSS_SAMPLE t=4.8s rss=821MB hwm=823MB
RSS_SAMPLE t=5.0s rss=821MB hwm=823MB
RSS_SAMPLE t=5.3s rss=821MB hwm=823MB
RSS_SAMPLE t=5.5s rss=821MB hwm=823MB
RSS_SAMPLE t=5.8s rss=821MB hwm=823MB
RSS_SAMPLE t=6.0s rss=821MB hwm=823MB
RSS_SAMPLE t=6.3s rss=821MB hwm=823MB
RSS_SAMPLE t=6.5s rss=821MB hwm=823MB
RSS_SAMPLE t=6.8s rss=821MB hwm=823MB
RSS_SAMPLE t=7.0s rss=821MB hwm=823MB
RSS_SAMPLE t=7.3s rss=821MB hwm=823MB
RSS_SAMPLE t=7.5s rss=821MB hwm=823MB
RSS_SAMPLE t=7.8s rss=821MB hwm=823MB
RSS_SAMPLE t=8.0s rss=821MB hwm=823MB
RSS_SAMPLE t=8.3s rss=821MB hwm=823MB
RSS_SAMPLE t=8.5s rss=821MB hwm=823MB
RSS_SAMPLE t=8.8s rss=821MB hwm=823MB
RSS_SAMPLE t=9.0s rss=821MB hwm=823MB
RSS_SAMPLE t=9.3s rss=821MB hwm=823MB
RSS_SAMPLE t=9.5s rss=821MB hwm=823MB
RSS_SAMPLE t=9.8s rss=821MB hwm=823MB
RSS_SAMPLE t=10.0s rss=821MB hwm=823MB
RSS_SAMPLE t=10.3s rss=821MB hwm=823MB
RSS_SAMPLE t=10.5s rss=821MB hwm=823MB
RSS_SAMPLE t=10.8s rss=821MB hwm=823MB
RSS_SAMPLE t=11.0s rss=821MB hwm=823MB
RSS_SAMPLE t=11.3s rss=821MB hwm=823MB
RSS_SAMPLE t=11.5s rss=821MB hwm=823MB
RSS_SAMPLE t=11.8s rss=821MB hwm=823MB
RSS_SAMPLE t=12.0s rss=821MB hwm=823MB
RSS_SAMPLE t=12.3s rss=821MB hwm=823MB
RSS_SAMPLE t=12.5s rss=821MB hwm=823MB
RSS_SAMPLE t=12.8s rss=821MB hwm=823MB
RSS_SAMPLE t=13.0s rss=821MB hwm=823MB
RSS_SAMPLE t=13.3s rss=821MB hwm=823MB
RSS_SAMPLE t=13.5s rss=821MB hwm=823MB
RSS_SAMPLE t=13.8s rss=821MB hwm=823MB
RSS_SAMPLE t=14.0s rss=821MB hwm=823MB
RSS_SAMPLE t=14.3s rss=821MB hwm=823MB
RSS_SAMPLE t=14.5s rss=821MB hwm=823MB
RSS_SAMPLE t=14.8s rss=821MB hwm=823MB
RSS_SAMPLE t=15.0s rss=821MB hwm=823MB
RSS_SAMPLE t=15.3s rss=821MB hwm=823MB
RSS_SAMPLE t=15.5s rss=821MB hwm=823MB
RSS_SAMPLE t=15.8s rss=821MB hwm=823MB
RSS_SAMPLE t=16.0s rss=821MB hwm=823MB
RSS_SAMPLE t=16.3s rss=821MB hwm=823MB
RSS_SAMPLE t=16.5s rss=821MB hwm=823MB
RSS_SAMPLE t=16.8s rss=821MB hwm=823MB
RSS_SAMPLE t=17.0s rss=821MB hwm=823MB
RSS_SAMPLE t=17.3s rss=821MB hwm=823MB
RSS_SAMPLE t=17.5s rss=821MB hwm=823MB
RSS_SAMPLE t=17.8s rss=821MB hwm=823MB
RSS_SAMPLE t=18.0s rss=821MB hwm=823MB
RSS_SAMPLE t=18.3s rss=821MB hwm=823MB
RSS_SAMPLE t=18.5s rss=821MB hwm=823MB
RSS_SAMPLE t=18.8s rss=821MB hwm=823MB
RSS_SAMPLE t=19.0s rss=821MB hwm=823MB
RSS_SAMPLE t=19.3s rss=821MB hwm=823MB
RSS_SAMPLE t=19.5s rss=821MB hwm=823MB
